2018-05-16 08:12:06 startup archives install
2018-05-16 08:12:07 install base-passwd:amd64 <none> 3.5.43
2018-05-16 08:12:07 status half-installed base-passwd:amd64 3.5.43
2018-05-16 08:12:07 status unpacked base-passwd:amd64 3.5.43
2018-05-16 08:12:07 status unpacked base-passwd:amd64 3.5.43
2018-05-16 08:12:07 configure base-passwd:amd64 3.5.43 3.5.43
2018-05-16 08:12:07 status unpacked base-passwd:amd64 3.5.43
2018-05-16 08:12:08 status half-configured base-passwd:amd64 3.5.43
2018-05-16 08:12:09 status installed base-passwd:amd64 3.5.43
2018-05-16 08:12:10 startup archives install
2018-05-16 08:12:10 install base-files:amd64 <none> 9.9+deb9u4
2018-05-16 08:12:10 status half-installed base-files:amd64 9.9+deb9u4
2018-05-16 08:12:10 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:10 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:10 configure base-files:amd64 9.9+deb9u4 9.9+deb9u4
2018-05-16 08:12:10 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:11 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:11 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:11 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:11 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:11 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:11 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:11 status half-configured base-files:amd64 9.9+deb9u4
2018-05-16 08:12:11 status installed base-files:amd64 9.9+deb9u4
2018-05-16 08:12:12 startup archives install
2018-05-16 08:12:14 upgrade dpkg 1.18.24 1.18.24
2018-05-16 08:12:14 status half-configured dpkg 1.18.24
2018-05-16 08:12:14 status unpacked dpkg 1.18.24
2018-05-16 08:12:14 status half-installed dpkg 1.18.24
2018-05-16 08:12:15 status half-installed dpkg 1.18.24
2018-05-16 08:12:15 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:15 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:15 configure dpkg:amd64 1.18.24 1.18.24
2018-05-16 08:12:15 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:16 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:16 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:16 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:16 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:16 status half-configured dpkg:amd64 1.18.24
2018-05-16 08:12:16 status installed dpkg:amd64 1.18.24
2018-05-16 08:12:16 startup archives install
2018-05-16 08:12:18 install libc6:amd64 <none> 2.24-11+deb9u1
2018-05-16 08:12:18 status half-installed libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:19 status unpacked libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:19 status unpacked libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:19 configure libc6:amd64 2.24-11+deb9u1 2.24-11+deb9u1
2018-05-16 08:12:19 status unpacked libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:19 status unpacked libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:19 status half-configured libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:20 status installed libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:20 startup archives install
2018-05-16 08:12:20 install perl-base:amd64 <none> 5.24.1-3+deb9u3
2018-05-16 08:12:20 status half-installed perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:21 status unpacked perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:21 status unpacked perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:21 configure perl-base:amd64 5.24.1-3+deb9u3 5.24.1-3+deb9u3
2018-05-16 08:12:21 status unpacked perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:21 status half-configured perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:22 status installed perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:22 startup archives install
